origin,destination,distance_km,avg_passengers,avg_revenue_usd,avg_delay_min,fuel_cost_usd,competition_score,demand_score,profitability_score
DXB,LHR,9512,420,162920,107,22253,0.71,0.76,0.1743
DXB,BOM,11594,316,423700,34,14593,0.28,0.34,0.7842
JFK,SYD,10949,391,28637,50,61037,0.01,0.59,0.0
SYD,NRT,6660,171,92145,5,68292,0.47,0.18,0.0427
NRT,BOM,2649,70,120698,36,23074,0.93,0.29,0.1592
FRA,JFK,2988,269,489261,4,48403,0.41,0.84,0.8777
LAX,FRA,2240,337,88760,55,98696,0.7,0.1,0.0
BOM,SIN,5463,227,205435,58,47527,0.67,0.64,0.2578
DXB,SIN,7236,313,449205,38,80211,0.89,0.71,0.7
DXB,JFK,3417,75,203586,100,8581,0.34,0.56,0.29
LAX,FRA,5273,391,370607,50,28289,0.22,0.17,0.6346
DXB,NRT,7636,450,372856,116,93483,0.87,0.59,0.4427
FRA,DXB,1220,484,258862,75,6711,0.59,0.17,0.4293
BOM,FRA,10311,175,254127,40,86110,0.53,0.54,0.296
CDG,SYD,11309,79,194733,22,74575,0.74,0.55,0.2183
LHR,NRT,3038,456,145892,43,9748,0.64,0.31,0.2293
JFK,LHR,12022,314,152309,71,27629,0.37,0.29,0.1784
SIN,CDG,13098,302,172958,93,28379,1.0,0.56,0.1962
LAX,NRT,6386,63,303550,93,68030,0.57,0.49,0.378
CDG,SIN,944,151,251252,1,73437,0.42,0.09,0.3546
SIN,LHR,7999,236,456445,30,25080,0.09,0.54,0.8327
CDG,NRT,7224,106,474081,33,11383,0.78,0.74,0.8924
JFK,DXB,10445,491,223967,44,12606,0.83,0.24,0.3787
JFK,NRT,563,342,147015,10,47849,0.65,0.23,0.1883
LHR,JFK,3929,224,299106,13,98180,0.07,0.66,0.3889
LAX,LAX,2114,231,305953,52,54761,0.71,0.17,0.4504
LHR,DXB,1874,136,73461,24,72647,0.48,0.98,0.0
CDG,SYD,13754,450,19389,71,99352,0.15,0.24,0.0
NRT,DXB,6847,299,253119,19,9534,0.06,0.48,0.4682
LAX,LHR,13350,140,294396,115,37618,0.36,0.29,0.3986
CDG,FRA,6083,325,14008,48,19149,0.7,0.44,0.0
LAX,SIN,4075,166,344230,85,6082,0.59,0.7,0.5913
SIN,SYD,9132,367,167187,54,24996,0.24,0.11,0.2304
CDG,NRT,13881,443,337523,14,31436,0.35,0.68,0.5982
JFK,LAX,8141,412,435860,55,82134,0.83,0.76,0.6525
JFK,JFK,10511,477,372787,9,95141,0.84,0.75,0.5463
LAX,BOM,13201,350,341541,47,30542,0.83,0.56,0.575
BOM,SIN,5510,172,163438,4,66861,0.59,0.9,0.1892
BOM,NRT,8513,115,432489,107,54858,0.39,0.33,0.6483
JFK,DXB,10068,152,212496,89,40717,0.83,0.8,0.2546
JFK,SIN,1010,474,157649,27,20339,0.76,0.69,0.2476
SYD,CDG,8028,232,20209,53,55192,0.39,0.33,0.0
SYD,BOM,12563,296,152764,36,26443,0.49,0.2,0.2166
CDG,SIN,12440,498,269057,66,90795,0.7,0.91,0.2905
LAX,DXB,9354,207,176488,2,28380,0.88,0.97,0.2942
SYD,LAX,12754,241,60263,8,74506,0.61,0.9,0.0
FRA,JFK,3081,408,34252,52,6411,0.15,0.5,0.0037
JFK,LHR,12990,246,58262,55,54367,0.83,0.27,0.0
JFK,FRA,13839,205,33236,9,94989,0.08,0.52,0.0
BOM,SYD,8508,497,185503,85,61671,0.11,0.3,0.1627
SIN,DXB,13805,214,51680,64,18646,0.47,0.79,0.0021
LHR,CDG,9494,161,91188,46,32035,0.91,0.92,0.0723
LAX,DXB,5259,87,349663,72,95438,0.32,0.64,0.4364
LAX,CDG,12462,377,337841,16,88286,0.93,0.44,0.4831
SIN,NRT,13461,283,285577,119,47264,0.26,0.46,0.3576
DXB,DXB,8295,239,214637,71,19426,0.81,0.9,0.3194
BOM,SYD,1098,439,305866,96,38672,0.48,0.42,0.4384
SYD,SYD,7534,182,263747,76,79668,0.37,0.02,0.2922
CDG,LAX,9608,370,281863,75,85929,0.35,0.58,0.3169
FRA,FRA,10599,353,262305,45,9287,0.87,0.73,0.461
SIN,LHR,6265,397,213373,48,75226,0.09,0.61,0.2283
LHR,LHR,2504,408,77150,63,60633,0.47,0.09,0.0
NRT,DXB,8574,72,120141,66,37993,0.72,0.17,0.0983
SIN,FRA,9551,493,247280,68,40892,0.6,0.03,0.3448
BOM,SYD,2378,270,429728,76,16654,0.21,0.97,0.7501
SYD,SYD,7936,369,425149,79,21810,0.59,0.76,0.7277
DXB,FRA,8621,94,441250,114,48956,0.13,0.54,0.6706
FRA,CDG,7949,110,358931,28,65909,0.55,0.38,0.558
FRA,LHR,8798,289,32460,96,75230,0.48,0.44,0.0
NRT,BOM,3815,377,347861,66,5817,0.92,0.66,0.6181
BOM,LHR,12317,326,260928,88,75316,0.75,0.25,0.2832
DXB,LAX,1365,170,353190,5,90428,0.16,0.64,0.5205
SYD,CDG,555,280,258833,0,16232,0.38,0.1,0.4852
SYD,JFK,11420,465,11198,60,30762,0.66,0.98,0.0
LHR,CDG,5012,103,360702,27,54742,0.84,0.44,0.5849
BOM,LAX,6111,471,480546,54,45559,0.16,0.45,0.816
BOM,LHR,10865,84,494399,93,83143,0.9,0.85,0.7295
CDG,DXB,9828,257,162532,10,98620,0.64,0.75,0.1178
JFK,JFK,12343,161,488551,6,68830,0.6,0.95,0.8334
DXB,JFK,3035,475,295309,89,65447,0.85,0.36,0.3707
JFK,CDG,12128,56,279924,108,37493,0.5,0.62,0.3769
JFK,BOM,1875,183,202281,58,60847,0.42,0.25,0.2249
SYD,SYD,11144,239,182189,57,58626,0.4,0.02,0.1901
NRT,FRA,8739,402,261055,103,59624,0.82,0.67,0.2999
SYD,NRT,4213,192,303370,116,74404,0.04,0.51,0.3419
LAX,CDG,576,370,239523,24,32023,0.13,0.67,0.391
SIN,LHR,2951,267,126564,79,73568,0.64,0.77,0.027
LAX,LAX,11372,232,459188,51,80483,0.0,0.9,0.7064
FRA,SYD,13003,82,58736,55,21665,0.33,0.28,0.0191
CDG,CDG,13700,355,174272,88,60226,0.71,1.0,0.1401
SYD,CDG,3569,230,51244,5,61775,0.68,0.9,0.0
JFK,JFK,2778,247,136658,23,70176,0.9,0.46,0.11
LHR,BOM,8903,354,12639,118,86854,0.69,0.88,0.0
CDG,BOM,5303,374,94558,16,80565,0.93,0.5,0.012
DXB,DXB,11274,314,254733,98,94343,0.23,0.79,0.2228
JFK,JFK,13074,427,434447,78,38227,0.14,0.74,0.7144
SYD,SYD,11230,476,173619,111,72589,0.31,0.64,0.0911
LHR,LAX,7993,457,104530,47,9909,0.2,0.66,0.1422
DXB,FRA,667,392,268759,12,20302,0.43,0.4,0.4849
SIN,SIN,11084,440,67482,28,63850,0.22,0.28,0.0
LAX,LHR,1030,229,436146,99,74328,0.46,0.49,0.6246
DXB,NRT,5542,449,13822,55,66308,0.35,0.3,0.0
SYD,CDG,6435,345,444040,26,12284,0.41,0.65,0.8375
SYD,FRA,1997,189,297193,114,86988,0.6,0.4,0.3064
SIN,FRA,11686,87,201433,73,5357,0.72,0.59,0.3192
JFK,SYD,1370,243,141587,71,16246,0.04,0.39,0.1797
SIN,NRT,1165,108,315205,62,69343,0.03,0.33,0.4297
BOM,FRA,9254,490,407185,109,49646,0.68,0.45,0.6061
LAX,JFK,6947,136,444850,31,77982,0.74,0.08,0.7027
JFK,NRT,8695,167,128614,115,55722,0.36,0.51,0.0308
LHR,FRA,3636,434,482443,102,24936,0.63,0.35,0.813
LAX,SYD,8666,63,447780,71,73208,0.11,0.2,0.6781
LAX,CDG,7115,61,230157,102,78891,0.5,0.38,0.2005
SIN,BOM,8336,303,446794,52,78761,0.81,0.78,0.6841
SYD,DXB,10324,465,60325,40,29878,0.21,0.53,0.0209
DXB,FRA,8196,65,129462,73,64403,0.5,0.57,0.0571
SIN,SYD,9461,416,27688,61,9638,0.92,0.8,0.0
CDG,LAX,6867,362,45808,95,85648,0.24,0.2,0.0
JFK,NRT,3599,268,160038,5,70227,0.54,0.41,0.1746
LHR,BOM,5568,263,480153,104,12423,0.44,0.04,0.8315
DXB,JFK,3744,292,293200,62,19374,0.04,0.8,0.4857
SYD,CDG,13589,132,294795,85,57407,0.38,0.65,0.3898
NRT,JFK,12226,409,293540,0,80715,0.37,0.38,0.4256
FRA,SIN,9931,464,377440,55,98716,0.3,0.42,0.5024
LAX,CDG,6236,100,163197,16,17493,0.98,0.97,0.2754
JFK,BOM,2552,271,123639,23,87633,0.84,0.2,0.049
BOM,LAX,1302,339,381131,95,70615,0.0,0.56,0.526
CDG,CDG,5783,304,295881,44,41067,0.46,0.95,0.4656
SYD,SIN,8232,327,397389,118,57987,0.9,0.22,0.5608
LAX,BOM,13217,230,467706,81,64824,0.65,0.18,0.7248
FRA,FRA,2420,141,232565,6,31202,0.51,0.82,0.3967
FRA,FRA,2100,475,311985,0,69277,0.88,0.4,0.4854
LHR,BOM,6348,61,21484,115,14351,0.8,0.19,0.0
LHR,DXB,3546,420,84114,12,58972,0.72,0.45,0.0383
DXB,JFK,2629,487,407316,21,84283,0.46,0.99,0.6251
SIN,SYD,596,470,47386,76,50594,0.57,0.28,0.0
DXB,LAX,9979,369,36262,36,62776,0.1,0.74,0.0
FRA,JFK,4530,150,429725,116,38149,0.06,0.08,0.6672
JFK,JFK,853,337,352926,66,57784,0.21,0.69,0.5243
DXB,JFK,1167,483,409083,46,8285,0.99,0.81,0.7556
LHR,LAX,7650,97,184471,77,55693,0.33,0.45,0.1806
NRT,BOM,9867,237,432037,75,42351,0.66,0.76,0.7044
JFK,CDG,3217,86,337086,110,30692,0.13,0.82,0.5028
SIN,LAX,4617,259,75489,43,84208,0.4,0.41,0.0
BOM,SIN,2387,132,498584,27,40138,0.32,0.62,0.8899
BOM,LHR,948,375,258174,108,73645,0.7,0.18,0.2611
SYD,LHR,5498,438,128442,89,86239,0.57,0.97,0.0
NRT,LHR,8950,441,83542,82,47402,0.74,0.1,0.0
SYD,NRT,5217,462,235560,40,20517,0.63,0.6,0.3901
SYD,SIN,8363,485,225879,13,8982,0.43,0.49,0.4208
JFK,FRA,12499,299,318872,86,42163,0.17,0.36,0.4674
JFK,FRA,7273,263,497803,79,53392,0.1,0.28,0.8098
FRA,JFK,7922,369,312087,65,11102,0.59,0.6,0.537
DXB,NRT,4191,461,225933,3,8862,0.92,0.94,0.4311
CDG,CDG,11547,79,300412,117,68572,0.14,0.58,0.3467
FRA,SIN,13691,160,55141,72,17309,0.11,0.23,0.0037
FRA,JFK,1705,169,95474,117,67254,0.68,0.43,0.0
SIN,NRT,2827,240,309948,40,63140,0.77,0.4,0.4536
DXB,FRA,7822,164,240675,19,93379,0.27,0.58,0.2756
SYD,SIN,13822,75,248105,45,79017,0.7,0.18,0.2932
SIN,DXB,4366,298,263060,108,26708,0.9,0.98,0.3647
CDG,FRA,10347,333,211527,26,91762,0.93,0.3,0.2135
NRT,NRT,9798,366,273116,63,63977,0.61,0.01,0.3553
JFK,DXB,1631,360,350953,89,31928,0.95,0.2,0.549
SYD,JFK,9928,83,482889,0,64560,0.4,0.5,0.8367
BOM,CDG,10000,203,229685,52,40247,0.78,0.69,0.3269
JFK,NRT,3780,323,121177,19,66762,0.35,0.72,0.0898
NRT,DXB,3931,303,30222,108,18918,0.79,0.83,0.0
NRT,SYD,4925,499,43009,11,46839,0.74,0.91,0.0
JFK,DXB,12213,112,51186,49,15518,0.04,0.06,0.0223
LAX,FRA,9455,370,466825,59,27465,0.21,0.54,0.8197
NRT,LAX,1699,389,266970,103,43637,0.17,0.53,0.3437
DXB,FRA,8384,366,228919,38,21042,0.03,0.82,0.3778
CDG,JFK,11743,66,393345,36,28287,0.79,0.56,0.6941
SIN,DXB,8558,330,30844,36,91614,0.24,0.18,0.0
BOM,NRT,5584,361,262226,29,45466,0.35,0.28,0.4045
LAX,SIN,4589,365,227841,89,37232,0.63,0.33,0.2922
CDG,LAX,8095,328,241346,95,79692,0.9,0.69,0.2283
DXB,JFK,7851,261,212875,116,73900,0.82,0.3,0.162
SIN,SYD,11619,458,462994,114,60829,0.19,0.31,0.6903
SYD,NRT,1053,337,12927,28,53377,0.15,0.38,0.0
JFK,LHR,3023,307,270871,118,38010,0.01,0.6,0.3477
JFK,SYD,9935,142,278787,91,92138,0.51,0.48,0.2823
SIN,BOM,7075,447,320919,73,79725,0.4,0.85,0.4094
FRA,NRT,12945,88,350803,70,87000,0.84,0.57,0.4576
NRT,DXB,991,456,79875,76,45515,0.42,0.65,0.0
LHR,SIN,6130,154,483950,1,53972,0.76,0.63,0.859
FRA,CDG,8817,329,377818,56,75936,0.85,0.73,0.5478
LAX,LHR,6803,485,172657,113,29151,0.67,0.84,0.174
JFK,LHR,6632,447,170978,21,73858,0.39,0.51,0.1732
CDG,BOM,13005,398,296906,21,84549,0.7,0.05,0.4037
LAX,SYD,13563,376,58149,26,23447,0.65,0.1,0.0434
JFK,LAX,915,292,67213,110,71349,0.02,0.25,0.0
DXB,JFK,10559,232,482849,105,25637,0.91,0.92,0.8094
SIN,SIN,2277,251,100231,50,49477,1.0,0.69,0.0515
FRA,FRA,10815,392,126265,93,59277,0.07,0.17,0.041
DXB,NRT,9794,102,376979,25,84635,0.29,0.43,0.5597
LAX,SIN,1502,209,358012,53,46955,0.21,0.87,0.5691
CDG,JFK,1697,471,259754,62,43539,0.6,0.83,0.3704
SIN,CDG,4400,432,23401,93,16664,0.99,0.93,0.0
NRT,LAX,10636,266,142070,71,81513,0.3,0.39,0.0501
LHR,LAX,4160,221,458998,88,95279,0.88,0.95,0.6394
NRT,FRA,6816,424,70469,14,30765,0.21,0.23,0.0654
CDG,SIN,3143,342,385402,14,63177,0.94,0.43,0.6304
LHR,DXB,10248,278,193067,33,34745,0.53,0.77,0.2836
CDG,SYD,13818,358,40591,54,59491,0.81,0.77,0.0
FRA,DXB,12690,290,106351,64,60201,0.44,0.65,0.0283
BOM,CDG,12807,381,310437,118,69475,0.71,0.85,0.3639
LHR,CDG,6767,243,119406,0,75059,0.38,0.62,0.0887
NRT,CDG,11814,373,201702,81,77050,0.48,0.47,0.1683
LAX,BOM,1913,186,251885,36,16675,0.65,0.12,0.4344
SIN,DXB,6356,466,205730,70,34369,0.32,0.06,0.2727
CDG,SYD,1199,274,86759,98,42342,0.3,0.45,0.0
CDG,LAX,2411,284,11605,48,73585,0.83,0.89,0.0
CDG,LHR,4625,93,19987,47,24051,0.02,0.62,0.0
LHR,BOM,7411,434,132117,41,77063,0.42,0.08,0.0691
NRT,LAX,13251,99,491206,52,59312,0.17,0.54,0.8118
NRT,LHR,3784,176,262074,60,45724,0.48,0.48,0.3727
JFK,JFK,4325,274,393282,2,77572,0.76,0.82,0.6294
JFK,LHR,3302,224,444806,2,99180,0.8,0.42,0.6893
NRT,FRA,5797,168,498893,28,56987,0.18,0.16,0.8558
SIN,NRT,12865,246,177694,96,39298,0.13,1.0,0.1808
SIN,BOM,2490,326,193700,107,74991,0.78,0.78,0.1304
LHR,CDG,5643,183,290108,19,20397,0.27,0.01,0.5204
NRT,BOM,11451,143,381359,80,26274,0.04,0.97,0.6302
SYD,SYD,994,264,399790,69,37934,0.1,0.58,0.6547
NRT,JFK,9596,498,490679,68,12585,0.1,0.11,0.8882
LAX,SYD,13795,241,288693,117,74729,0.86,0.39,0.3109
SYD,FRA,2270,92,97836,89,89848,0.17,0.02,0.0
LHR,DXB,1431,63,362028,90,52982,0.18,0.46,0.5281
JFK,CDG,12837,188,67725,50,70098,0.8,0.16,0.0
SYD,SYD,3348,129,382908,114,8207,0.64,0.06,0.6354
LHR,LHR,6082,106,115946,20,70092,0.65,0.81,0.0717
CDG,FRA,10011,68,80070,46,19094,0.17,0.05,0.076
SIN,CDG,12452,138,345778,113,14696,0.69,0.54,0.5492
JFK,SIN,6282,167,389943,34,43809,0.47,0.76,0.6583
SYD,LAX,2741,407,229878,91,44531,0.47,0.83,0.2797
SIN,DXB,3077,74,136313,50,52189,0.79,0.83,0.1182
BOM,FRA,7384,205,457939,15,45849,0.79,0.42,0.8092
JFK,DXB,3995,305,229611,23,40802,0.83,0.14,0.3546
BOM,BOM,8336,466,487316,28,99927,0.05,0.41,0.7468
LHR,DXB,4332,341,324148,43,9604,0.35,0.09,0.5861
NRT,SYD,2851,417,387777,47,13973,0.64,0.77,0.7006
SIN,LAX,6554,50,353207,97,79292,0.19,0.55,0.4508
FRA,SYD,7127,224,425321,52,63741,0.24,0.85,0.6712
LAX,BOM,5087,407,193831,66,46985,0.93,0.49,0.2277
SIN,DXB,8540,123,255870,9,36074,0.6,0.79,0.4306
SIN,DXB,9567,410,155503,83,87830,0.62,0.32,0.0523
SYD,SIN,8602,232,377717,111,7618,0.93,0.1,0.6292
FRA,BOM,9309,194,482826,61,74947,0.95,0.79,0.7548
NRT,SIN,10591,425,460466,103,71421,0.15,0.0,0.6751
LAX,SIN,4773,479,251757,114,52345,0.51,0.56,0.2848
CDG,JFK,2801,431,382840,115,69237,0.43,0.76,0.5122
LAX,LAX,1184,201,99792,51,81057,0.92,0.22,0.0
NRT,NRT,4532,98,398466,37,30798,0.55,0.13,0.6983
SYD,SYD,13840,367,298666,13,46651,0.01,0.29,0.491
NRT,NRT,9878,170,253772,98,16158,0.8,0.23,0.3772
CDG,SYD,3482,58,48337,49,61976,0.41,0.17,0.0
JFK,SIN,12703,242,297002,79,81730,0.53,0.54,0.3515
JFK,SYD,13242,325,237421,4,27669,0.96,0.51,0.4155
SYD,DXB,6754,54,92809,60,34287,0.3,0.6,0.057
NRT,SYD,2228,397,195281,6,46587,0.34,0.66,0.2914
BOM,SIN,6712,349,446368,20,40753,0.51,0.86,0.7912
LAX,BOM,2867,347,425365,103,74041,0.84,0.25,0.5996
DXB,DXB,12269,69,207311,77,44431,0.08,0.99,0.2488
BOM,LHR,11834,82,440695,18,35201,0.85,0.72,0.793
BOM,SYD,761,366,21364,28,77500,0.11,0.49,0.0
LAX,NRT,3154,310,468682,10,46211,0.47,0.2,0.8349
SIN,BOM,2633,441,489045,88,6146,0.56,0.09,0.8778
CDG,SIN,9734,83,174143,60,15871,0.56,0.66,0.2565
BOM,FRA,4860,337,375101,63,59352,0.91,0.08,0.5685
LHR,DXB,9701,247,221080,43,35223,0.21,0.79,0.3287
SYD,FRA,1631,321,350584,33,37522,0.67,0.5,0.5931
LAX,LHR,6262,411,445599,66,67012,0.85,0.62,0.6912
DXB,SYD,8755,455,295025,0,89133,0.53,0.69,0.4118
SYD,DXB,814,249,221285,44,70853,0.17,0.78,0.2569
SYD,LHR,9804,401,296952,66,25429,0.24,0.99,0.477
FRA,SYD,1998,320,82555,4,14221,0.83,0.79,0.1327
LAX,BOM,5325,226,167782,48,89185,0.5,0.93,0.1092
DXB,NRT,7710,153,195829,52,21717,0.79,0.77,0.2962
JFK,FRA,4133,135,79725,42,69244,0.73,0.59,0.0
BOM,NRT,9387,216,101720,51,44049,0.2,0.86,0.0643
LAX,SIN,2421,462,138032,59,64518,0.83,0.9,0.088
JFK,NRT,13353,456,159946,55,82791,0.26,0.07,0.0993
FRA,DXB,3482,391,27273,58,36198,0.15,0.02,0.0
LHR,LHR,2556,492,192894,5,99651,0.07,0.78,0.1815
CDG,BOM,10268,180,166779,108,74311,0.95,0.48,0.0769
NRT,NRT,7951,442,335276,95,93767,0.55,0.55,0.388
LAX,JFK,8714,304,391531,27,89727,0.08,0.81,0.5766
JFK,LHR,4313,166,73244,50,92849,0.25,0.18,0.0
SIN,NRT,10875,461,138231,2,98785,0.15,0.8,0.0769
JFK,NRT,10699,73,442981,28,15581,1.0,0.89,0.8268
BOM,FRA,732,81,206851,115,20471,0.82,0.25,0.2578
LHR,SIN,4716,223,120362,79,93217,0.21,0.65,0.0
NRT,DXB,12093,170,469736,29,41895,0.75,0.93,0.8267
FRA,LHR,2128,171,10212,54,33424,0.52,0.66,0.0
JFK,NRT,3772,248,374460,18,82882,0.65,0.21,0.5652
JFK,NRT,12621,326,479013,103,91475,0.21,0.56,0.6721
SIN,LHR,2278,216,331169,19,34211,0.48,0.97,0.5749
FRA,BOM,8528,434,478119,112,58201,0.61,0.91,0.7278
JFK,LAX,4495,407,103902,35,35955,0.53,0.15,0.1009
JFK,JFK,13029,74,403197,59,68180,0.75,0.34,0.611
BOM,DXB,2195,331,77901,104,58749,0.35,0.05,0.0
LHR,DXB,10470,337,471077,29,18956,0.24,0.48,0.8752
FRA,JFK,3303,108,332480,104,59633,0.66,0.62,0.4417
SYD,SYD,4338,127,57706,95,84455,0.66,0.1,0.0
JFK,JFK,11150,356,266140,79,45262,0.57,0.25,0.3628
LAX,NRT,12105,377,301965,39,30195,0.51,0.75,0.5045
NRT,NRT,10516,138,465301,53,70689,0.58,0.77,0.7362
LAX,SYD,13948,432,177099,114,85470,0.72,0.81,0.0693
FRA,LHR,11455,160,381984,54,41523,0.02,0.11,0.6269
LHR,DXB,5357,395,317193,22,18018,0.39,0.55,0.5764
LHR,SIN,9277,56,257990,11,73798,0.03,0.22,0.3574
SYD,BOM,4692,74,385030,105,77284,0.86,0.88,0.5105
LHR,JFK,5268,322,329243,15,61002,0.64,0.24,0.5215
FRA,DXB,5782,371,208532,42,48276,0.98,0.94,0.2785
BOM,BOM,1831,440,20901,20,67584,0.65,0.81,0.0
SIN,SIN,12560,352,443228,99,33266,0.25,0.46,0.7209
JFK,BOM,1159,270,100403,11,66446,0.51,0.38,0.0569
SYD,LHR,13615,116,388890,36,28850,0.96,0.29,0.6841
LAX,CDG,9777,277,57770,9,5303,0.32,0.92,0.0959
LHR,CDG,10466,410,407512,19,25035,0.66,0.21,0.746
SIN,DXB,8649,361,140060,54,36531,0.06,0.62,0.1531
LHR,CDG,749,366,306420,60,75099,0.21,0.42,0.4026
CDG,SIN,7986,369,447693,50,32923,0.32,0.04,0.7795
SIN,SIN,2217,234,379271,92,84683,0.77,0.46,0.4972
BOM,FRA,11063,58,396392,44,17812,0.4,0.71,0.7132
SIN,SYD,8126,97,460673,17,56527,0.73,0.77,0.7913
BOM,LAX,12946,250,69646,32,33112,0.63,0.8,0.0411
FRA,BOM,8488,83,273745,70,47861,0.1,0.24,0.3818
DXB,SYD,5866,240,439501,9,77633,0.06,0.93,0.7147
NRT,SYD,820,465,462618,48,56976,0.39,0.63,0.7633
JFK,BOM,6640,444,78333,17,76251,0.07,0.31,0.0
FRA,SYD,843,175,86364,51,76012,0.66,0.43,0.0
BOM,SYD,4593,412,139392,99,15375,0.1,0.58,0.149
CDG,NRT,3416,414,155051,53,58336,0.49,0.21,0.1404
JFK,LHR,8514,261,418867,36,88264,0.32,0.96,0.6252
BOM,CDG,777,447,424852,58,11825,0.57,0.18,0.7681
SIN,DXB,1090,270,450682,50,33070,0.11,0.37,0.7852
SIN,NRT,5027,92,346631,87,10519,0.2,0.68,0.5852
NRT,SYD,10539,322,157166,57,92133,0.93,0.56,0.0731
DXB,CDG,2576,335,134859,71,86528,0.24,0.29,0.0257
LAX,CDG,4382,441,396407,27,19498,0.66,0.64,0.7268
CDG,LAX,12382,494,288278,83,91379,0.66,0.74,0.3108
LAX,LAX,13633,344,385127,84,23103,0.3,0.01,0.64
SIN,SYD,8381,305,132266,96,16901,0.97,0.0,0.1347
DXB,FRA,5866,240,37036,19,10684,0.66,0.26,0.0337
BOM,BOM,12101,268,115148,30,15050,0.61,0.68,0.1702
SIN,LAX,2734,238,198501,2,8561,0.94,0.59,0.3779
JFK,SIN,2394,482,329562,80,82917,0.51,0.58,0.4133
CDG,JFK,7645,220,408140,106,70463,0.13,0.24,0.5694
BOM,JFK,1954,365,370593,31,93904,0.63,0.73,0.5224
SIN,NRT,2553,278,213868,23,12394,0.04,0.97,0.3799
NRT,SYD,12824,115,430996,35,44648,0.92,0.43,0.7377
JFK,JFK,4076,377,236023,45,39587,0.34,0.49,0.3479
LAX,NRT,12633,70,118523,102,50597,0.82,0.77,0.0339
SIN,NRT,7129,373,131457,14,27412,0.71,0.68,0.1941
FRA,NRT,10247,61,358511,43,88277,0.79,0.68,0.4975
NRT,LAX,8090,447,462893,11,96140,0.74,0.37,0.7225
JFK,CDG,11120,163,142933,72,72758,0.84,0.54,0.0683
SIN,DXB,5178,60,413028,94,55962,0.94,0.51,0.6201
LHR,LAX,11941,120,416122,2,7234,0.77,0.16,0.8158
DXB,LAX,7924,248,219682,119,90452,0.81,0.43,0.1395
SYD,NRT,1767,150,113301,12,67437,0.94,0.08,0.0797
NRT,JFK,11744,324,369830,20,95765,0.07,0.24,0.5281
SYD,CDG,6713,215,125631,95,90907,0.91,0.32,0.0
FRA,SIN,2236,392,221870,19,22645,0.87,0.24,0.3794
NRT,JFK,11696,154,226490,69,59116,0.18,0.31,0.2657
FRA,SYD,13513,364,239976,94,43009,0.56,0.9,0.2999
SYD,NRT,7509,172,52893,108,15667,0.62,0.05,0.0
LHR,SIN,8066,233,371214,28,20246,0.1,0.19,0.6739
SIN,FRA,8106,183,130872,28,35738,0.75,0.46,0.1623
DXB,SIN,9788,302,54280,46,81906,0.09,0.39,0.0
LHR,LAX,8032,485,156748,60,11668,0.25,0.85,0.2302
LAX,JFK,1455,224,70161,59,59134,0.73,0.02,0.0
SYD,NRT,3537,278,74077,94,45364,0.98,0.24,0.0
NRT,LAX,12934,434,290300,44,51993,0.09,0.68,0.4326
JFK,LHR,6652,441,222239,108,21223,0.04,0.22,0.294
FRA,SYD,7739,191,356724,0,10309,0.09,0.65,0.6928
SIN,DXB,4948,252,201776,107,11662,0.41,0.74,0.2732
FRA,SIN,2869,225,117006,4,42672,0.9,0.82,0.1447
DXB,SYD,2877,210,157437,83,40532,0.69,0.28,0.1508
DXB,DXB,11390,191,421948,108,24772,0.48,0.29,0.6864
LAX,NRT,1067,260,169163,66,48768,0.54,0.37,0.1748
SIN,BOM,6588,225,323828,53,24956,0.38,0.65,0.5447
JFK,BOM,9230,474,268702,6,83677,0.6,0.56,0.364
LAX,DXB,7603,310,466730,47,38441,0.7,0.17,0.8096
JFK,SIN,10690,146,25261,105,9658,0.07,0.3,0.0
BOM,FRA,5703,98,463963,70,57004,0.94,0.83,0.7439
FRA,DXB,8443,104,45619,61,98909,0.16,0.22,0.0
BOM,FRA,12581,284,138090,53,18607,0.32,0.09,0.186
SYD,LHR,1281,413,310636,106,44954,0.46,0.76,0.4254
LHR,LAX,11786,240,267233,110,87342,0.02,0.09,0.2498
DXB,FRA,13661,381,416246,115,5998,0.58,0.58,0.7055
LHR,LAX,6824,389,230486,23,69788,0.39,0.66,0.2984
FRA,SIN,9900,380,162447,68,74163,0.27,0.96,0.1086
NRT,DXB,11548,368,321341,8,63405,0.31,0.84,0.5079
LHR,NRT,11350,464,91007,52,7184,0.9,0.09,0.1156
FRA,BOM,3513,442,135258,45,73826,0.46,0.28,0.0779
FRA,CDG,7426,173,401088,38,73696,0.23,0.84,0.6168
SYD,LAX,7773,385,242577,95,92546,0.0,0.63,0.2051
JFK,FRA,8464,204,346634,20,64789,0.74,0.85,0.5437
CDG,LHR,12680,187,41586,78,86021,0.53,0.41,0.0
LAX,SIN,8635,86,493660,26,70272,0.63,0.71,0.8208
LAX,FRA,2437,239,75225,85,94145,0.78,0.13,0.0
FRA,DXB,3478,432,461065,111,39581,0.0,0.46,0.732
CDG,SIN,5516,273,111889,35,62934,0.74,0.09,0.0629
DXB,SIN,5660,336,94361,36,28716,0.13,0.38,0.0953
JFK,FRA,12561,431,475913,83,94509,0.36,0.87,0.6798
LHR,BOM,5066,427,336867,27,22197,0.97,0.74,0.6023
SYD,SIN,8472,258,96809,113,43657,0.39,0.09,0.0
DXB,SIN,4093,245,446418,93,84587,0.31,0.49,0.6307
LHR,LAX,10250,277,300508,35,91923,0.93,1.0,0.3822
