seat_class,flight_delay_min,seat_comfort,food_quality,staff_service,entertainment,cleanliness,wifi_quality,checkin_ease,flight_distance_km,satisfaction
First,66,1,5,2,2,2,5,2,7352,dissatisfied
Economy,22,2,1,5,3,3,1,3,12990,dissatisfied
Business,11,5,2,5,1,3,5,2,9920,neutral
Economy,51,2,1,5,2,4,4,4,9644,dissatisfied
First,46,4,1,5,3,1,4,3,8076,neutral
Business,50,5,1,4,5,5,1,3,6857,dissatisfied
Economy,0,3,4,4,5,5,5,3,3087,neutral
Business,65,3,5,2,4,4,1,1,10833,dissatisfied
Business,27,5,3,3,2,1,5,5,10299,neutral
Business,16,1,1,5,2,3,5,1,3136,dissatisfied
First,3,3,4,2,1,3,5,5,10036,dissatisfied
Business,64,2,2,3,4,2,5,5,8774,dissatisfied
First,0,3,5,2,5,2,4,4,9243,neutral
Economy,0,3,3,5,2,1,5,5,7524,neutral
Business,0,2,1,5,2,4,5,4,9869,neutral
First,59,3,4,4,4,4,5,3,13702,neutral
First,4,2,5,1,2,2,3,4,3688,dissatisfied
Economy,0,3,3,1,2,5,4,2,13576,dissatisfied
Economy,5,4,5,5,3,1,4,1,12628,neutral
Business,60,2,3,2,2,4,1,4,2098,dissatisfied
First,0,3,3,4,1,3,4,5,8244,neutral
First,26,1,5,3,4,3,3,4,7793,dissatisfied
First,0,4,5,2,4,4,4,4,796,neutral
Economy,88,4,3,2,1,1,3,3,8648,dissatisfied
Business,0,1,2,1,3,5,4,1,6918,dissatisfied
First,0,4,1,4,3,5,3,3,1260,neutral
Business,24,2,1,5,5,4,4,1,13960,dissatisfied
First,5,4,4,5,2,1,1,1,4295,neutral
Business,0,5,5,5,1,5,1,5,9309,neutral
First,42,3,3,2,4,4,3,3,7510,dissatisfied
Economy,18,4,3,3,3,2,5,4,1770,neutral
First,0,3,3,2,1,2,4,2,5321,dissatisfied
Economy,0,3,1,5,5,5,4,2,10901,neutral
Business,0,2,4,3,5,1,1,5,7709,neutral
First,18,2,4,1,2,5,1,5,10201,dissatisfied
Economy,11,4,3,1,3,1,3,5,6433,dissatisfied
Business,2,5,3,3,5,5,2,5,5614,neutral
Economy,12,5,3,4,2,3,5,3,737,neutral
Business,0,2,3,1,3,2,3,1,839,dissatisfied
First,27,2,4,2,5,2,5,4,4877,dissatisfied
Economy,0,1,5,5,4,1,3,4,3474,neutral
First,110,3,4,1,4,5,4,3,11420,dissatisfied
First,12,3,3,3,1,2,3,4,1591,dissatisfied
First,10,3,2,1,4,4,5,2,2457,dissatisfied
Business,45,1,5,3,4,5,2,4,1902,dissatisfied
Business,38,3,2,3,3,1,4,1,814,dissatisfied
First,0,5,1,4,2,1,5,4,3353,neutral
First,47,3,3,1,4,4,2,1,3153,dissatisfied
First,0,2,2,5,3,3,4,5,572,neutral
Economy,3,1,3,1,4,2,1,3,5079,dissatisfied
Economy,0,4,3,3,5,3,5,2,11669,neutral
Business,13,2,1,1,3,1,4,4,5900,dissatisfied
Business,58,1,5,5,2,1,2,2,5803,neutral
Economy,0,3,3,4,1,5,4,4,3015,neutral
Business,0,3,5,4,2,1,1,5,13986,neutral
Business,16,5,4,4,1,2,4,1,4878,neutral
Economy,35,3,1,3,4,2,1,3,11477,dissatisfied
Business,30,3,4,2,3,1,5,3,3142,dissatisfied
Economy,17,3,1,3,2,3,4,2,3881,dissatisfied
First,0,3,2,5,5,5,3,1,10221,neutral
Business,23,5,2,4,2,1,2,3,5484,neutral
First,89,5,3,3,1,5,3,2,10541,dissatisfied
Business,0,3,5,3,4,4,3,1,4943,neutral
First,60,5,5,4,3,4,4,5,12764,neutral
Economy,28,5,5,1,4,4,2,5,10889,neutral
Business,35,2,5,5,5,4,5,2,13274,neutral
Economy,10,4,1,2,1,4,2,5,13112,dissatisfied
Business,0,4,3,2,1,3,1,4,11031,dissatisfied
First,46,4,5,5,1,3,4,4,13087,neutral
Economy,0,5,3,3,4,3,3,1,11536,neutral
Business,25,4,3,4,5,1,5,5,2752,neutral
Economy,0,2,5,4,2,4,4,3,4048,neutral
Economy,63,4,3,5,1,5,5,2,5977,neutral
Economy,0,3,1,5,1,4,5,3,9569,neutral
First,27,5,3,4,1,1,1,4,1654,neutral
First,0,3,5,4,1,1,2,5,10850,neutral
Business,0,1,3,5,5,1,4,3,9432,neutral
Economy,0,5,3,3,3,3,5,2,1880,neutral
Economy,27,3,5,2,1,5,2,1,4931,dissatisfied
Business,47,1,1,2,3,4,3,1,9036,dissatisfied
First,7,2,5,1,4,1,1,2,4165,dissatisfied
Business,0,3,2,5,4,4,1,4,6212,neutral
Business,0,4,2,1,2,4,2,2,9726,dissatisfied
Economy,26,2,3,1,1,3,3,2,1142,dissatisfied
Economy,50,2,4,2,4,4,2,5,11672,dissatisfied
Business,43,1,2,4,5,2,1,3,1707,dissatisfied
Economy,15,3,2,4,5,5,5,2,10258,neutral
First,56,4,2,4,3,2,3,2,13651,dissatisfied
Business,62,5,4,5,5,3,5,1,9035,neutral
Economy,43,5,4,2,1,4,5,3,3056,dissatisfied
First,0,3,1,5,4,5,4,1,12578,neutral
First,0,3,4,5,4,5,5,4,9711,neutral
Economy,0,1,1,3,4,4,1,1,9135,dissatisfied
Economy,0,5,5,4,1,1,1,4,2380,neutral
Business,83,4,1,3,2,4,3,4,12196,dissatisfied
First,26,4,1,3,3,2,4,3,13502,dissatisfied
Business,0,4,2,2,5,5,2,4,651,dissatisfied
Business,39,1,3,4,3,4,5,2,2831,dissatisfied
First,0,4,2,1,3,2,5,2,2347,dissatisfied
First,60,4,2,3,4,1,4,1,991,dissatisfied
Economy,65,5,5,3,5,1,3,1,12562,neutral
Business,1,4,1,1,3,1,3,3,11792,dissatisfied
First,14,3,1,1,4,1,4,4,11845,dissatisfied
First,0,3,2,2,1,3,1,2,6462,dissatisfied
First,30,2,4,3,4,3,3,1,13279,dissatisfied
Economy,3,1,3,3,4,3,3,5,7288,dissatisfied
Economy,24,5,2,2,1,1,5,3,11900,dissatisfied
First,28,2,3,1,5,1,1,4,2468,dissatisfied
First,0,2,2,3,5,5,1,3,13080,dissatisfied
First,78,1,2,1,5,4,4,4,5449,dissatisfied
Business,53,1,5,5,2,4,3,4,1544,neutral
Economy,15,2,2,3,3,3,4,3,8981,dissatisfied
Economy,0,4,4,5,4,4,5,1,10725,neutral
First,28,3,4,3,2,3,2,1,3402,neutral
Business,62,2,1,1,3,4,4,4,9048,dissatisfied
Business,0,1,2,5,4,5,1,2,13174,neutral
Economy,0,2,1,2,5,1,4,4,5854,dissatisfied
Business,21,3,1,4,1,2,4,5,12765,dissatisfied
Economy,72,5,3,2,2,5,1,1,4826,dissatisfied
First,21,3,5,2,1,4,3,3,11530,dissatisfied
Business,11,5,3,5,5,2,5,4,4119,neutral
First,30,1,4,5,3,2,3,1,7481,neutral
First,56,5,3,2,1,2,1,1,4416,dissatisfied
First,25,4,5,5,1,1,1,4,13090,neutral
Economy,0,2,4,2,3,5,1,4,7775,dissatisfied
First,49,2,3,3,2,3,5,1,11364,dissatisfied
Economy,50,4,5,4,2,1,3,5,7522,neutral
First,76,3,2,3,4,1,3,3,3116,dissatisfied
First,29,1,2,5,4,3,3,4,13078,dissatisfied
Economy,8,4,1,2,5,2,1,4,5242,dissatisfied
Business,0,2,3,3,3,2,2,2,11169,dissatisfied
Economy,0,5,4,2,3,4,4,4,1966,neutral
Business,0,3,1,3,4,2,4,5,13685,dissatisfied
Business,28,3,3,1,2,4,1,5,9532,dissatisfied
Economy,99,4,4,1,2,3,1,4,8158,dissatisfied
Business,106,2,2,1,4,2,1,3,11743,dissatisfied
First,0,2,1,4,3,1,2,3,7569,dissatisfied
First,35,1,4,3,1,4,5,4,10362,dissatisfied
Economy,16,1,3,5,1,5,5,4,2841,neutral
Economy,9,4,1,3,5,1,1,5,5445,dissatisfied
Business,29,4,4,2,2,2,1,2,13075,dissatisfied
Business,80,2,3,3,3,2,2,4,7190,dissatisfied
Business,46,4,4,3,2,4,2,3,8454,neutral
First,47,3,1,1,1,5,4,4,1919,dissatisfied
Economy,0,5,3,2,3,5,2,1,3046,neutral
Business,35,2,5,3,4,3,1,5,3742,dissatisfied
First,18,3,1,4,1,2,5,5,3135,dissatisfied
Business,65,5,4,5,1,3,3,2,5021,neutral
First,0,2,5,1,3,4,2,3,5184,dissatisfied
First,0,2,3,3,2,2,3,4,6724,dissatisfied
Economy,44,2,2,2,1,3,1,2,5063,dissatisfied
Economy,54,3,4,1,5,3,4,3,7606,dissatisfied
Business,34,2,4,1,1,4,1,5,2526,dissatisfied
Business,85,4,1,3,2,4,2,1,1660,dissatisfied
Economy,0,4,2,2,4,5,4,4,8691,dissatisfied
Economy,8,3,1,2,1,1,4,3,3499,dissatisfied
First,0,3,5,4,3,4,5,3,699,neutral
Business,1,2,2,1,2,4,1,4,4916,dissatisfied
Business,0,4,2,4,1,2,1,5,4389,neutral
First,31,2,1,2,4,5,3,2,8394,dissatisfied
Business,40,5,2,5,3,4,5,4,2283,neutral
Business,9,2,4,5,5,3,3,3,3970,neutral
Business,59,4,3,5,1,3,2,5,10931,neutral
First,21,3,1,3,1,5,3,4,13359,dissatisfied
Economy,120,5,5,3,2,5,3,2,6853,dissatisfied
Business,12,4,1,2,4,2,4,5,2772,dissatisfied
Business,51,3,1,4,2,4,3,1,10735,dissatisfied
Business,0,1,5,3,5,4,4,1,10786,neutral
First,79,5,5,2,5,3,2,2,11781,dissatisfied
Business,10,2,5,5,1,3,3,4,3112,neutral
Business,81,3,3,5,5,1,5,5,11616,dissatisfied
First,7,2,5,1,3,5,2,3,4660,dissatisfied
First,6,2,5,4,1,5,4,2,3307,neutral
Business,37,3,2,2,3,4,5,3,9120,dissatisfied
Economy,26,1,1,2,5,1,2,1,5728,dissatisfied
First,0,5,5,5,2,2,1,4,7571,neutral
Economy,0,1,5,3,1,5,1,2,5699,neutral
Economy,49,4,3,3,2,4,2,3,8622,dissatisfied
Business,35,1,5,2,1,4,2,1,5424,dissatisfied
Economy,41,1,3,3,2,4,3,2,9955,dissatisfied
Economy,51,1,5,2,4,3,3,3,3256,dissatisfied
Business,0,2,4,1,1,4,2,4,6215,dissatisfied
First,1,2,4,3,1,1,5,2,10624,neutral
First,0,3,2,1,3,1,4,1,12134,dissatisfied
Economy,9,2,2,4,4,2,2,2,6249,dissatisfied
First,50,3,3,1,2,3,1,2,10944,dissatisfied
Business,5,1,4,4,4,1,3,4,9242,neutral
Business,20,2,3,1,2,4,3,2,793,dissatisfied
Economy,37,2,4,3,1,2,1,1,1620,dissatisfied
Business,0,4,5,1,3,3,5,2,1159,neutral
Business,1,5,2,3,2,1,2,5,1164,neutral
Business,48,5,5,2,1,5,5,3,2908,neutral
Business,0,1,3,2,5,2,5,3,7328,dissatisfied
Economy,19,1,4,4,5,2,2,5,2566,neutral
Business,43,5,3,5,5,3,5,2,7959,neutral
First,33,3,3,1,1,2,1,4,9201,dissatisfied
Business,37,3,4,3,1,3,2,5,2314,dissatisfied
Economy,7,5,2,5,2,5,3,5,1762,neutral
Economy,0,4,4,2,3,3,2,3,8807,neutral
First,39,2,2,3,2,2,3,3,8969,dissatisfied
Business,33,4,5,3,4,1,4,3,7410,neutral
Economy,40,4,3,5,1,2,2,2,7700,neutral
Business,0,4,5,3,1,2,3,3,11998,neutral
First,0,2,2,5,3,3,5,5,7182,neutral
Business,0,3,5,1,2,3,4,1,4151,dissatisfied
Economy,8,3,1,1,2,2,2,4,7951,dissatisfied
First,32,3,2,1,1,1,3,2,5083,dissatisfied
Business,0,4,2,2,5,2,5,2,11794,dissatisfied
Economy,16,1,4,5,2,2,3,3,12534,neutral
First,47,4,2,1,4,4,2,2,5450,dissatisfied
First,16,1,5,2,5,1,1,1,7944,dissatisfied
First,54,2,3,2,5,2,1,5,10557,dissatisfied
First,15,5,3,2,2,5,2,5,12169,neutral
Business,42,4,4,1,5,1,5,2,510,dissatisfied
Economy,97,3,1,3,4,1,4,3,8681,dissatisfied
Economy,66,1,5,1,2,1,3,2,13879,dissatisfied
Economy,0,3,1,2,3,1,5,2,582,dissatisfied
First,51,4,1,4,2,3,3,4,6175,dissatisfied
Economy,55,2,2,1,1,1,1,4,4812,dissatisfied
Economy,56,2,3,1,3,3,4,5,9489,dissatisfied
Economy,0,1,2,3,2,1,2,3,3546,dissatisfied
First,36,3,5,1,5,5,2,5,13324,dissatisfied
First,0,5,1,1,1,4,1,2,10315,dissatisfied
Economy,10,1,4,2,1,3,2,5,13437,dissatisfied
Economy,39,2,4,2,3,4,4,4,8242,dissatisfied
First,0,1,1,4,4,3,4,1,6343,dissatisfied
Economy,33,2,1,2,1,3,2,1,1289,dissatisfied
First,0,4,1,5,2,1,5,2,11048,neutral
Economy,0,4,4,3,5,2,2,2,9228,neutral
Business,59,4,4,1,3,1,4,2,12712,dissatisfied
Business,4,2,2,1,4,2,1,5,1931,dissatisfied
First,15,4,4,5,5,1,2,5,4331,neutral
First,113,4,2,3,4,1,5,4,6740,dissatisfied
Business,44,5,5,5,3,5,2,5,4248,neutral
Business,53,5,1,5,3,5,3,4,5280,neutral
Economy,21,3,5,3,4,5,2,1,7425,neutral
Business,0,1,4,1,1,4,4,5,4472,dissatisfied
Business,39,5,3,1,3,3,2,4,8075,dissatisfied
Economy,61,1,3,3,4,3,2,2,5978,dissatisfied
Business,40,1,4,2,1,1,1,1,9499,dissatisfied
First,79,1,3,3,1,3,3,4,1054,dissatisfied
Economy,20,3,5,5,3,5,1,4,4226,neutral
Business,47,1,2,5,2,5,4,4,3899,dissatisfied
First,55,2,3,1,4,2,5,1,10760,dissatisfied
First,25,5,5,3,5,2,1,3,1906,neutral
Business,0,2,2,3,2,4,4,5,10927,dissatisfied
First,91,2,3,1,1,3,3,1,8440,dissatisfied
First,15,2,5,5,5,2,2,2,5327,neutral
Economy,22,1,3,1,2,3,1,1,5221,dissatisfied
Business,10,1,5,4,1,2,2,2,11218,neutral
Business,7,1,5,5,5,4,3,1,7165,neutral
First,44,4,4,3,5,5,5,2,2020,neutral
First,0,1,1,2,1,1,2,4,6589,dissatisfied
Economy,0,5,4,2,3,1,5,3,1957,neutral
Business,26,1,4,2,1,1,3,5,1717,dissatisfied
Economy,35,5,3,3,4,1,3,3,11695,neutral
Economy,0,5,4,3,1,5,5,1,2907,neutral
Business,0,3,4,2,4,2,1,5,2749,dissatisfied
Business,0,4,3,2,5,4,3,3,7407,dissatisfied
Business,78,1,5,4,1,4,3,5,13322,dissatisfied
First,39,2,1,1,2,1,5,4,7315,dissatisfied
Economy,0,1,3,2,1,1,2,3,11021,dissatisfied
First,8,1,3,2,3,1,5,5,7469,dissatisfied
First,0,5,5,4,1,1,4,5,3727,neutral
Business,0,3,1,1,1,3,2,5,8199,dissatisfied
Business,23,2,4,2,5,2,2,5,2218,dissatisfied
Business,56,1,2,4,3,1,3,2,4216,dissatisfied
Economy,24,2,4,5,1,2,2,2,12630,neutral
Business,0,2,5,1,2,4,1,2,10021,dissatisfied
First,64,5,1,1,5,2,1,4,9085,dissatisfied
Economy,0,5,3,5,4,3,1,4,5884,neutral
First,21,3,1,2,3,4,4,3,3444,dissatisfied
Business,0,5,5,5,3,1,3,2,3604,neutral
First,96,3,1,2,5,1,5,3,8431,dissatisfied
Economy,27,3,5,2,4,4,4,5,9987,dissatisfied
Business,0,3,1,4,5,1,4,1,13493,dissatisfied
First,27,3,1,4,3,1,1,5,6874,dissatisfied
First,7,3,1,3,5,1,2,3,10428,dissatisfied
Business,86,5,2,1,5,4,5,1,9213,dissatisfied
First,6,4,3,4,5,3,3,4,12430,neutral
Economy,0,2,2,1,3,3,2,1,8983,dissatisfied
Economy,0,5,1,2,1,2,2,5,9410,dissatisfied
Economy,0,1,3,4,4,3,4,3,11690,dissatisfied
Economy,20,4,4,3,3,3,4,2,12841,neutral
Business,4,5,1,2,1,1,1,5,1554,dissatisfied
Business,26,5,1,5,4,2,3,3,10525,neutral
First,32,1,3,4,5,3,3,5,8973,dissatisfied
Economy,0,4,4,1,1,2,4,1,2183,dissatisfied
Economy,0,5,1,3,2,4,4,4,6783,neutral
Economy,92,4,1,3,4,3,1,1,4186,dissatisfied
First,0,2,5,3,1,1,2,2,2905,neutral
First,77,1,2,2,4,5,5,3,7842,dissatisfied
Business,46,5,3,2,5,1,1,1,4975,dissatisfied
First,128,1,2,4,2,5,3,3,5158,dissatisfied
Economy,54,2,1,1,1,5,3,5,6275,dissatisfied
Business,22,5,2,5,3,4,2,1,6661,neutral
Economy,38,1,4,2,4,3,2,1,6635,dissatisfied
Economy,38,3,1,3,1,5,5,2,12690,dissatisfied
Economy,52,2,3,3,5,5,3,1,936,dissatisfied
Business,3,4,5,1,4,5,4,4,4819,neutral
Business,0,4,1,5,1,2,4,3,2178,neutral
Business,0,1,3,4,5,3,1,5,12683,dissatisfied
Business,0,1,4,4,4,5,4,4,11592,neutral
First,63,2,5,2,5,3,5,4,4404,dissatisfied
Economy,11,4,1,5,1,2,5,1,11784,neutral
Economy,69,1,2,2,1,1,3,4,9089,dissatisfied
Business,0,3,2,2,3,1,4,5,3397,dissatisfied
Economy,40,3,1,1,5,5,2,4,5805,dissatisfied
First,0,5,3,4,4,2,3,4,9488,neutral
Business,62,5,4,3,4,1,1,1,9558,neutral
First,6,2,3,1,3,4,2,3,3916,dissatisfied
First,54,1,3,1,2,4,4,3,1206,dissatisfied
First,0,2,2,3,3,4,5,2,7220,dissatisfied
First,0,2,1,5,4,5,4,3,3665,neutral
Economy,90,3,5,3,5,5,5,4,12538,dissatisfied
First,79,1,2,3,3,1,1,2,2155,dissatisfied
Economy,0,4,2,3,5,5,3,2,13403,neutral
Business,0,3,1,3,2,1,4,1,8133,dissatisfied
Business,0,1,5,4,4,5,2,2,8802,neutral
Economy,0,4,5,4,2,2,4,1,2782,neutral
First,0,4,3,1,5,3,4,5,7262,dissatisfied
First,83,5,2,1,2,4,1,2,2419,dissatisfied
First,60,4,3,5,1,4,5,1,7504,neutral
Economy,0,3,5,3,5,2,3,5,11271,neutral
First,0,5,1,5,3,5,3,5,3421,neutral
Economy,71,2,3,5,5,1,5,1,5732,dissatisfied
Economy,51,2,1,5,3,3,2,2,11729,dissatisfied
Business,42,4,3,5,2,1,4,5,7676,neutral
Business,55,4,1,4,4,3,1,3,2168,dissatisfied
Business,29,3,1,3,1,1,2,3,7183,dissatisfied
Business,9,4,2,1,2,3,1,2,13325,dissatisfied
Economy,0,1,1,2,5,2,1,5,10169,dissatisfied
Business,6,3,5,4,4,2,4,1,6218,neutral
First,12,2,1,5,3,2,4,2,8383,dissatisfied
Economy,24,5,1,2,5,5,3,3,6509,dissatisfied
Economy,27,4,4,3,2,3,3,5,13774,neutral
Business,85,4,2,3,2,1,4,3,4527,dissatisfied
Economy,84,5,2,5,4,5,1,4,6846,neutral
First,0,5,2,4,5,3,1,4,3325,neutral
First,0,3,2,2,5,5,3,1,3290,dissatisfied
Business,12,3,2,5,3,4,5,1,5718,neutral
Economy,108,5,4,2,2,5,4,1,4353,dissatisfied
Economy,4,5,1,4,1,4,4,5,7622,neutral
First,0,4,3,1,2,5,4,1,2638,dissatisfied
First,44,4,1,2,1,1,3,3,7048,dissatisfied
First,10,4,2,3,4,4,4,2,6954,dissatisfied
Economy,26,1,5,2,4,4,2,4,9641,dissatisfied
Business,1,1,4,2,2,4,3,1,9415,dissatisfied
First,17,2,3,3,2,2,3,1,12784,dissatisfied
First,47,3,2,3,1,3,4,2,13720,dissatisfied
First,18,1,3,2,2,3,3,2,6641,dissatisfied
Business,24,3,4,2,4,5,5,1,13346,dissatisfied
Economy,16,4,2,2,4,3,1,2,10324,dissatisfied
First,0,5,4,4,3,5,2,1,13825,neutral
Business,20,4,4,3,1,4,5,4,4457,neutral
First,7,5,1,5,5,3,2,3,8755,neutral
Economy,72,5,2,3,2,5,2,5,10778,dissatisfied
Business,103,2,2,4,4,4,4,2,13669,dissatisfied
Economy,4,3,5,2,1,2,3,4,623,neutral
Economy,8,5,1,2,3,1,2,4,13781,dissatisfied
First,61,1,2,4,1,3,5,2,2988,dissatisfied
Business,0,1,2,1,2,4,2,4,1920,dissatisfied
Economy,37,4,3,4,5,1,3,1,11209,neutral
First,21,4,5,2,1,1,2,5,8279,neutral
First,0,2,4,3,2,5,1,1,2133,neutral
Business,65,2,5,3,3,2,2,2,12795,dissatisfied
First,2,4,1,3,1,5,1,1,7680,dissatisfied
First,1,2,5,1,2,2,2,2,10288,dissatisfied
Economy,0,5,5,5,1,1,5,2,3755,neutral
Economy,33,4,5,5,1,1,2,4,5980,neutral
Economy,1,2,3,2,3,3,1,2,6413,dissatisfied
First,0,1,1,3,1,1,1,3,13514,dissatisfied
Business,0,2,4,3,3,5,4,3,6428,neutral
First,32,4,1,3,1,5,5,4,3714,dissatisfied
Business,35,1,4,3,4,1,3,2,966,dissatisfied
Business,0,5,3,4,5,1,1,5,11508,neutral
Business,26,3,1,2,5,2,5,5,5720,dissatisfied
Economy,0,2,3,4,4,1,4,5,7033,neutral
Economy,83,2,3,1,5,1,1,1,756,dissatisfied
Business,10,3,2,2,3,5,5,5,13161,dissatisfied
First,36,3,5,3,2,5,5,2,1670,neutral
First,30,4,4,3,3,5,2,4,8009,neutral
Economy,68,5,2,4,2,3,4,4,3431,dissatisfied
Business,16,4,3,5,3,2,4,5,3003,neutral
First,0,1,3,4,3,2,2,1,2435,dissatisfied
Business,34,4,2,5,2,1,5,2,6722,neutral
First,67,3,4,2,4,1,2,2,6681,dissatisfied
Business,61,5,5,2,4,4,2,5,5045,dissatisfied
Business,0,4,1,2,4,5,5,1,885,dissatisfied
First,0,1,5,1,4,2,3,1,2820,dissatisfied
First,26,3,5,2,3,4,1,2,9667,dissatisfied
Business,46,2,2,4,3,3,5,1,3531,dissatisfied
First,0,3,2,4,1,3,2,5,5415,neutral
Business,27,1,2,5,5,5,4,4,4408,dissatisfied
Economy,38,4,4,2,1,2,5,4,8482,dissatisfied
Business,0,4,2,5,5,4,4,1,8269,neutral
First,30,4,2,4,5,1,3,4,12659,neutral
First,74,2,2,3,3,5,3,4,6420,dissatisfied
First,38,1,3,2,4,5,3,5,13505,dissatisfied
Economy,0,5,4,1,2,5,1,2,4774,neutral
Economy,42,2,1,1,3,1,3,5,10098,dissatisfied
Business,0,3,5,3,2,5,2,1,989,neutral
First,61,1,1,5,1,4,3,1,10249,dissatisfied
Business,37,1,4,5,4,1,1,2,9158,neutral
Business,120,5,3,5,1,3,3,4,3123,dissatisfied
First,50,1,5,2,4,3,5,1,1244,dissatisfied
First,60,3,2,5,3,5,4,2,10206,dissatisfied
First,14,2,4,1,2,1,2,2,813,dissatisfied
Economy,7,3,5,1,4,4,2,5,1805,dissatisfied
Business,7,3,5,1,5,2,3,2,13974,dissatisfied
Business,2,1,1,5,3,4,1,5,12607,dissatisfied
Economy,94,2,5,2,3,1,4,3,1525,dissatisfied
Economy,0,5,5,1,4,1,1,1,5913,neutral
Business,26,3,1,4,4,4,3,4,5175,dissatisfied
Economy,0,4,3,1,1,1,1,1,13343,dissatisfied
Economy,28,2,3,2,3,5,4,1,5157,dissatisfied
First,13,1,5,1,5,5,4,4,8263,dissatisfied
Business,6,3,4,3,2,5,1,4,3938,neutral
First,43,3,4,3,5,3,3,5,12206,dissatisfied
Economy,59,3,5,3,2,1,4,4,7308,dissatisfied
First,58,3,5,1,1,5,1,5,11528,dissatisfied
Business,24,3,5,2,4,1,1,5,9018,dissatisfied
Business,0,3,3,5,2,2,2,5,13853,neutral
Business,0,5,5,2,5,5,4,2,11685,neutral
Economy,0,4,4,4,4,2,2,1,4511,neutral
First,26,5,2,4,5,2,4,1,6573,neutral
Economy,33,5,1,2,1,2,3,2,10714,dissatisfied
First,32,3,2,1,1,3,2,4,3462,dissatisfied
Economy,24,3,4,3,5,3,2,5,4580,neutral
Economy,24,3,4,3,5,4,3,2,11011,neutral
Business,0,2,5,5,5,3,5,5,5331,neutral
First,0,1,2,1,2,3,2,3,11403,dissatisfied
First,15,1,2,5,3,3,3,1,9511,dissatisfied
First,66,4,3,2,3,2,3,1,6956,dissatisfied
Business,33,5,3,5,3,2,3,1,733,neutral
Economy,0,5,3,4,2,2,4,5,4811,neutral
First,28,4,2,5,3,2,3,4,4117,neutral
First,0,4,5,3,3,1,3,1,10437,neutral
First,29,2,1,4,3,4,1,1,7008,dissatisfied
Economy,25,4,2,3,5,2,5,5,11468,dissatisfied
First,0,4,5,2,2,4,2,4,1050,neutral
First,10,4,1,5,5,3,3,1,13250,neutral
Economy,0,3,5,5,5,4,1,5,3191,neutral
First,55,2,5,5,4,3,3,1,5384,neutral
Business,83,3,3,1,2,2,5,2,531,dissatisfied
Economy,0,2,2,1,1,3,5,2,7591,dissatisfied
Business,16,1,1,4,2,2,2,1,4300,dissatisfied
First,0,5,3,3,3,2,3,5,1269,neutral
Business,0,5,1,2,1,4,2,5,13628,dissatisfied
Economy,55,1,1,1,5,5,2,5,11797,dissatisfied
Economy,22,4,4,3,2,2,1,4,6339,neutral
Economy,34,1,1,5,3,5,3,3,12322,dissatisfied
Economy,36,2,5,5,1,2,4,5,2848,neutral
First,11,1,1,3,4,2,4,5,8656,dissatisfied
First,0,5,3,5,4,4,5,1,9123,neutral
Economy,40,5,4,1,2,1,4,5,13126,dissatisfied
First,0,4,4,2,4,2,2,3,6246,neutral
Business,0,1,5,1,3,1,2,1,8194,dissatisfied
Business,0,4,3,5,1,3,1,5,1983,neutral
Economy,0,3,4,2,2,5,5,3,967,dissatisfied
Business,0,2,4,5,3,3,5,1,12018,neutral
Business,28,4,4,2,2,2,5,4,11511,dissatisfied
Business,23,5,2,4,4,4,4,4,7123,neutral
Economy,9,2,3,5,3,3,1,1,7987,neutral
Business,0,3,4,4,4,1,1,3,2724,neutral
Economy,0,1,3,1,4,3,1,3,11313,dissatisfied
First,8,3,5,1,3,2,1,2,11353,dissatisfied
Business,28,1,3,1,1,1,1,2,4168,dissatisfied
Business,45,1,5,5,5,4,3,5,2427,neutral
First,52,4,2,3,1,5,2,2,1301,dissatisfied
First,76,2,5,4,1,1,3,1,4154,dissatisfied
Economy,21,2,5,4,1,3,2,3,3377,neutral
Business,71,3,1,4,2,4,2,3,3671,dissatisfied
First,0,5,5,5,5,1,3,1,1082,neutral
Business,0,3,2,4,2,4,2,4,1276,neutral
First,51,3,5,4,2,3,3,2,12414,neutral
Business,24,4,5,4,4,3,1,1,8133,neutral
First,15,5,2,5,2,4,1,5,2101,neutral
First,22,4,5,5,1,3,3,4,3619,neutral
First,0,2,5,3,1,1,5,1,10907,neutral
First,0,4,3,4,4,4,1,2,11087,neutral
Business,15,3,1,3,5,5,2,4,9799,dissatisfied
First,40,2,5,4,3,2,1,5,1495,neutral
Business,12,4,4,4,3,2,3,4,1909,neutral
Business,0,1,2,1,5,4,2,3,8802,dissatisfied
First,0,3,4,1,5,3,4,1,11697,dissatisfied
First,0,3,4,3,2,1,4,4,3769,neutral
First,28,4,4,5,2,5,4,1,12674,neutral
Business,15,5,4,3,2,1,2,1,12889,neutral
Business,4,1,2,1,1,3,2,1,10594,dissatisfied
First,0,4,1,2,5,5,3,3,3988,dissatisfied
Economy,33,3,4,5,5,2,1,4,13075,neutral
Business,83,3,3,2,2,1,1,3,5233,dissatisfied
Business,94,3,5,5,5,1,1,2,11703,neutral
First,1,4,4,1,1,2,2,4,10678,dissatisfied
Economy,0,2,4,2,5,1,2,4,5892,dissatisfied
First,0,5,5,2,3,2,5,3,13288,neutral
Economy,0,4,5,4,1,4,1,4,11674,neutral
Business,4,4,2,2,2,2,4,3,6975,dissatisfied
Economy,18,3,5,4,4,2,1,1,6386,neutral
First,0,5,1,1,3,4,5,2,7607,dissatisfied
Business,0,3,3,2,1,4,2,1,12952,dissatisfied
